Year,Title,Authors,Number of authors,Abstract,Citations,Paper file
1987,Bit-Serial Neural Networks,"Alan Murray, Anthony Smith, Zoe Butler",3,"A  bit  - serial  VLSI  neural  network  is  described  from  an  initial  architecture  for  a  synapse array through to silicon layout and board design.  The issues surrounding bit  - serial  computation,  and  analog/digital  arithmetic  are  discussed  and  the  parallel  development  of  a  hybrid  analog/digital  neural  network  is  outlined.  Learning  and  recall  capabilities  are  reported  for  the  bit  - serial  network  along  with  a  projected  specification  for  a  64  - neuron,  bit  - serial  board  operating  at 20 MHz.  This tech(cid:173) nique  is  extended  to  a  256  (2562  synapses)  network  with  an  update  time  of 3ms,  using  a  ""paging""  technique  to  time  - multiplex  calculations  through  the  synapse  array.",0,https://papers.nips.cc/paper_files/paper/1987/file/02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf
1987,Connectivity Versus Entropy,Yaser Abu-Mostafa,1,"How  does  the  connectivity  of a  neural  network  (number  of synapses  per  neuron)  relate  to  the complexity  of the  problems  it  can  handle  (measured  by  the entropy)?  Switching theory would suggest no relation at all, since all Boolean  functions  can be  implemented  using  a  circuit  with very  low  connectivity  (e.g.,  using  two-input  NAND  gates).  However,  for  a  network  that  learns  a  problem  from  examples  using  a  local  learning  rule,  we  prove  that  the  entropy  of  the  problem becomes  a  lower  bound for  the connectivity of the network.",0,https://papers.nips.cc/paper_files/paper/1987/file/03afdbd66e7929b125f8597834fa83a4-Paper.pdf
1987,The Hopfield Model with Multi-Level Neurons,Michael Fleisher,1,The  Hopfield  neural  network.  model  for  associative  memory  is  generalized.  The  generalization ,0,https://papers.nips.cc/paper_files/paper/1987/file/072b030ba126b2f4b2374f342be9ed44-Paper.pdf
1987,How Neural Nets Work,"Alan Lapedes, Robert Farber",2,"There is  presently great interest in the abilities of neural networks to mimic 
""qualitative reasoning""  by manipulating neural incodings of symbols.  Less work 
has  been performed on using neural networks to process floating  point numbers 
and it is  sometimes stated that neural networks are somehow inherently inaccu(cid:173)
rate  and  therefore  best  suited  for  ""fuzzy""  qualitative reasoning.  Nevertheless, 
the  potential  speed  of massively  parallel  operations  make  neural  net  ""number 
crunching""  an interesting topic  to explore.  In this paper we  discuss some of our 
work in which we  demonstrate that for  certain applications neural networks can 
achieve  significantly  higher  numerical  accuracy  than  more  conventional  tech(cid:173)
niques.  In  particular,  prediction  of future  values  of a  chaotic  time  series  can 
be  performed  with  exceptionally  high  accuracy.  We  analyze  how  a  neural  net 
is  able  to do  this  ,  and in  the process  show  that  a  large class  of functions  from 
Rn.  ~ Rffl  may  be  accurately  approximated  by  a  backpropagation  neural  net 
with just two  ""hidden""  layers.  The network  uses  this functional  approximation 
to perform either interpolation (signal processing applications)  or extrapolation 
(symbol processing applicationsJ.  Neural nets therefore use quite familiar meth(cid:173)
ods to perform. their tasks.  The geometrical viewpoint advocated here seems to 
be a  useful  approach  to analyzing  neural  network  operation  and  relates  neural 
networks  to well  studied topics  in  functional  approximation.",0,https://papers.nips.cc/paper_files/paper/1987/file/093f65e080a295f8076b1c5722a46aa2-Paper.pdf
1987,Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,"Andreas Stafylopatis, Marios Dikaiakos, D. Kontoravdis",3,"The  aim  of  this  paper  is  to  explore  the  spatial  organization  of  neural  networks  under  Markovian  assumptions,  in  what  concerns  the be(cid:173) haviour  of  individual  cells  and  the  interconnection  mechanism.  Space(cid:173) organizational  properties  of  neural  nets  are  very  relevant  in  image  modeling  and  pattern  analysis,  where  spatial  computations  on  stocha(cid:173) stic  two-dimensional  image  fields  are  involved.  As  a  first  approach  we  develop  a  random  neural  network  model,  based  upon  simple  probabi(cid:173) listic  assumptions,  whose  organization  is  studied  by  means  of  dis(cid:173) crete-event  simulation.  We  then  investigate  the  possibility  of  ap(cid:173) proXimating  the  random  network's  behaviour  by  using  an  analytical  ap(cid:173) proach  originating  from  the  theory  of  general  product-form  queueing  networks.  The  neural  network  is  described  by  an  open  network  of  no(cid:173) des,  in  which  customers  moving  from  node  to  node  represent  stimula(cid:173) tions  and  connections  between  nodes  are  expressed  in  terms  of  sui(cid:173) tably  selected  routing  probabilities.  We  obtain  the  solution  of  the  model  under  different  disciplines  affecting  the  time  spent  by  a  sti(cid:173) mulation  at  each  node  visited.  Results  concerning  the  distribution  of  excitation  in  the  network  as  a  function  of  network  topology  and  external  stimulation  arrival  pattern  are  compared  with  measures  ob(cid:173) tained  from  the  simulation  and  validate  the  approach  followed.",0,https://papers.nips.cc/paper_files/paper/1987/file/14bfa6bb14875e45bba028a21ed38046-Paper.pdf
1987,A Neural-Network Solution to the Concentrator Assignment Problem,"Gene Tagliarini, Edward Page",2,Networks  of simple analog  processors  having  neuron-like properties have  been  employed  to  compute  good  solutions  to  a  variety  of optimization  prob(cid:173) lems.  This  paper presents  a  neural-net solution to  a  resource allocation prob(cid:173) lem that arises  in  providing  local  access  to  the  backbone of a  wide-area  com(cid:173) munication  network.  The  problem is  described in  terms of an energy function  that can be  mapped onto an analog computational network.  Simulation results  characterizing  the  performance  of the  neural  computation  are  also  presented.,0,https://papers.nips.cc/paper_files/paper/1987/file/1679091c5a880faf6fb5e6087eb1b2dc-Paper.pdf
1987,LEARNING BY STATE RECURRENCE DETECTION,"Bruce Rosen, James Goodwin, Jacques Vidal",3,"This research investigates a new technique for unsupervised learning of nonlinear  control problems. The approach is applied both to Michie and Chambers BOXES  algorithm and to Barto, Sutton and Anderson's extension, the ASE/ACE system, and  has significantly improved the convergence rate of stochastically based learning  automata. ",0,https://papers.nips.cc/paper_files/paper/1987/file/182be0c5cdcd5072bb1864cdee4d3d6e-Paper.pdf
1987,Stability Results for Neural Networks,"Anthony Michel, Jay Farrell, Wolfgang Porod",3,"In the present paper we survey and utilize results from the qualitative theory of large  scale interconnected dynamical systems in order to develop  a  qualitative theory for  the  Hopfield model of neural networks.  In our approach we  view such networks as  an inter(cid:173) connection of many single neurons.  Our results  are  phrased in  terms of the  qualitative  properties of the individual neurons and in terms of the properties of the interconnecting  structure of the neural  networks.  Aspects of neural networks which  we  address include  asymptotic stability,  exponential stability,  and instability  of an  equilibrium;  estimates  of trajectory bounds; estimates of the domain of attraction of an asymptotically stable  equilibrium;  and stability of neural networks  under structural perturbations.",0,https://papers.nips.cc/paper_files/paper/1987/file/19ca14e7ea6328a42e0eb13d585e4c22-Paper.pdf
1987,Introduction to a System for Implementing Neural Net Connections on SIMD Architectures,Sherryl Tomboulian,1,"Neural  networks  have  attracted  much  interest  recently,  and  using  parallel ",0,https://papers.nips.cc/paper_files/paper/1987/file/1c383cd30b7c298ab50293adfecb7b18-Paper.pdf
1987,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,Harrison Leong,1,General  formulae  for  mapping  optimization  problems  into  systems  of  ordinary  differential ,0,https://papers.nips.cc/paper_files/paper/1987/file/1f0e3dad99908345f7439f8ffabdffc4-Paper.pdf
